Did you wash your ass today?,en,ru
Audio,Audio,Звук
Settings,Settings,Настройки
General,General,Общее
Language,Language,Язык
Project,Project,Проект
Master,Master,Мастер
Music,Music,Музыка
Sounds,Sounds,Звуки
Select Song,Select Song,Выбор песни
Failed,Failed,Неудача
Completed,Completed,Успех
Local Search,Local Search,Локальный поиск
Global Search,Global Search,Глобальный поиск
Search Result,Search Result,Найдено
YES,YES,ДА
NO,NO,НЕТ
Back,Back,Назад
Replay,Replay,Заново
,,
,,
CONFIRM_BACK_TO_MAIN_MENU,Do you want to return to the main menu?,Вы хотите вернуться в главное меню?
CONFIRM_EXIT_GAME,Do you want to exit the game?,Вы хотите выйти из игры?
